date,MKT,SMB,HML
2005-01,-0.05585039997516073,-0.025768165112198774,-0.03197526962794408
2005-02,0.09906686689138687,0.009315738965255269,0.002319968416718443
2005-03,-0.08884609489930521,-0.05089432938113897,-0.06640262689292208
2005-04,-0.008985577657174539,-0.060159258734688935,-0.0934638116153016
2005-05,-0.07865515917089919,0.05459951558872522,0.02089745279484531
2005-06,0.027274858852505822,-0.03224838979684417,-0.05425288296591959
2005-07,0.009967802650432832,-0.08256751126171746,-0.06417042080372219
2005-08,0.08966483628563904,0.08090284378734951,0.0017484914118210126
2005-09,0.002539884158893847,0.023933896191961374,-0.05623366294041886
2005-10,-0.048090360111532685,-0.005415514125791998,-0.06377884776509499
2005-11,0.004949649059868113,0.011979493192671907,0.008782991102055094
2005-12,0.06673507077916994,-0.054602531110082134,-0.0070973018091636045
2006-01,0.09594949293627353,-0.004994972298255088,-0.031441392269438734
2006-02,0.04241982606653324,-0.02445500101883548,-0.006340341869408406
2006-03,0.020417793793099666,-0.009826303454079508,-0.06094108300660714
2006-04,0.13162124023912222,-0.03165629790953482,-0.12380521498423284
2006-05,0.17452159178084453,0.07066370418579654,-0.032796014137652124
2006-06,0.04191933269623492,0.028393519061030506,-0.028570488142122742
2006-07,-0.05373567612251715,0.039864583249713884,-0.0532123178738714
2006-08,0.03842189444893651,-0.004339104019431467,-0.03747606123520891
2006-09,0.054323166511560675,-0.006243296268913283,-0.045385251004402674
2006-10,0.045220060451211574,-0.050019704536441674,-0.009369078648747566
2006-11,0.15093282550090847,-0.13825090517536406,-0.05896381102586329
2006-12,0.18273945667829394,-0.12782571437184662,-0.08270314430002157
2007-01,0.09850899216468016,0.08892260542173072,-0.008843452556994508
2007-02,0.0552449700456543,0.12486391291070448,0.04201104749508963
2007-03,0.11141337606859503,0.06840828389670708,0.012663711806563005
2007-04,0.1899239706621462,0.06920560368669795,-0.030192059852185177
2007-05,0.0871866214418764,-0.016752153844477827,-0.06884838932614926
2007-06,-0.04625400451045193,-0.13701017747430494,-0.16005232652261767
2007-07,0.17839380513010814,0.03796126399914984,0.00037402225030863656
2007-08,0.15798163185056596,-0.08126568624395972,-0.008928126796217906
2007-09,0.06919595633497284,-0.03973038742600973,-0.05437496611220613
2007-10,0.08180890475261693,-0.19837728338002786,-0.0439336512342268
2007-11,-0.14839798628095302,0.08411453533791223,0.022551385983804517
2007-12,0.12883460556440365,0.07093947836119782,-0.06620126290679174
2008-01,-0.14949372563606902,0.08246993136944375,-0.0594910470126018
2008-02,0.0038321912955346024,0.07676122441984605,-0.011110727382952247
2008-03,-0.19648192441267023,-0.0037672056229244577,-0.012007056772447205
2008-04,0.05896401306049728,-0.12611477840198573,-0.04203263339495415
2008-05,-0.058629044614609015,0.035129168192237666,-0.06286187101048668
2008-06,-0.20148274332076138,-0.0643408678084885,-0.04990297711801292
2008-07,0.024042192518341193,0.07715327098941412,-0.011849659100620233
2008-08,-0.1393663581215578,-0.09352332090934551,-0.020881889755348076
2008-09,-0.03309093648791442,-0.06565497634688817,-0.007584838451366739
2008-10,-0.24045485872237593,-0.012642980358904543,-0.05390116638917061
2008-11,0.11153920479134706,0.09213583436561144,-0.020966327274309915
2008-12,-0.010622549659810491,0.08122991382131362,-0.12075468976396478
2009-01,0.10030418763518556,0.06553688911516177,0.01040764463115755
2009-02,0.0540079168219051,0.024559330409266722,-0.024773535747746767
2009-03,0.14768492762240126,0.06142375842733491,-0.05046231000036683
2009-04,0.05269988933103159,0.010935909787496034,-0.028832357348718113
2009-05,0.06852574516947503,0.00011705428980396393,0.001521369706644779
2009-06,0.1354836809271976,-0.09920713120431643,0.008372130705875391
2009-07,0.1590265803705052,-0.024821090442906174,-0.0099070419977971
2009-08,-0.2040428060711155,0.05302806905374571,-0.06499069650647207
2009-09,0.04899391930666404,-0.02557463553557448,-0.029166717641997145
