date,MKT,SMB,VMG
2000-01,0.1799589053789794,-0.10065341877482381,-0.10627434211070708
2000-02,0.14441627849938019,-0.038789439605507195,-0.1273008397716131
2000-03,0.08116232194243267,0.036096877202894284,-0.07325172622825864
2000-04,0.02941190312209698,-0.03308493758022828,-0.014143521508547051
2000-05,0.03911726959497142,0.0009861681900128136,0.013440907049459105
2000-06,0.03572785052007207,-0.011478135204340222,0.06027131020927419
2000-07,0.0505253120118176,-0.001549955120097625,0.02395678911501395
2000-08,-0.0033734839636936293,0.0019403009239513218,-0.051046559201551364
2000-09,-0.0454878143483708,0.004814243337457037,-0.02898394163844749
2000-10,0.025006867809665524,0.016490766127633488,0.0027855446335208964
2000-11,0.060481330719453684,0.0035629808443857353,0.010688650599748578
2000-12,0.0014264241047247535,0.015574026450559027,-0.0017786439328040223
2001-01,-0.0028116070834135207,-0.005668620868447403,0.02144113016555199
2001-02,-0.05306374354355743,-0.00665880861026847,0.024347498379803073
2001-03,0.08381788204535463,0.056625044459958265,0.02308382714876478
2001-04,-0.004350949110571,-0.0016199492895899877,-0.03414600621634361
2001-05,0.03491047266010355,0.022617197514052445,-0.04062218123305317
2001-06,0.008887043353982564,-0.007832670542477738,-0.001388639590469174
2001-07,-0.12796679214441337,-0.02617344174435153,-0.013569054984319429
2001-08,-0.03515125352040885,-0.0023936956951466706,-0.0066657398390129186
2001-09,-0.03870850777379802,-0.03167795712754351,0.00379915898812639
2001-10,-0.04029144026294981,-0.0296423042734039,0.0015124404733528746
2001-11,0.03622997469279461,0.015364621308075761,0.008840918756713778
2001-12,-0.05376184261940195,-0.016298560435983704,0.02230166071780501
2002-01,-0.08753888357058305,-0.054254686989469864,0.027959670161170652
2002-02,0.024755729199863616,0.02149452851557209,-0.008665030663813446
2002-03,0.06122889726352741,0.013811734728565436,-0.04589564515542934
2002-04,0.04215187098549416,0.0038485598833230966,-0.02346322667906267
2002-05,-0.08319182022191786,-0.017348363841914585,-0.030146600232166504
2002-06,0.15497854994589946,-0.05533480304211115,0.01126041307228709
2002-07,-0.042193154341380476,0.007915576266047088,-0.0090484978046486
2002-08,0.009061723257505183,-0.004035939887306404,0.01429657215797217
2002-09,-0.051975101336371725,-0.011720854869088908,-0.001357813407842974
2002-10,-0.048094023152827126,-0.01502776693472277,-0.007549379743043719
2002-11,-0.05008380310177345,-0.04134489279263553,0.012187937771644064
2002-12,-0.05007147079197886,-0.00793833482301358,0.012513394709097125
2003-01,0.10252249588863285,0.0036870422332913183,0.0013707360117792
2003-02,0.008245699755904622,0.007822591304877889,-0.004775195642241716
2003-03,6.291342166381254e-05,-0.03496205367592949,0.024794827985402307
2003-04,0.0175406810203394,-0.07307887088960377,0.03414567564575596
2003-05,0.046580307652358696,-0.014263394224091591,-0.009716328002260653
2003-06,-0.05827166150775526,-0.011589420915202285,0.013993720874071108
2003-07,-0.0027211408593608875,-0.03321544431047499,0.024949590280994298
2003-08,-0.03324725000933566,0.008232952350611826,-0.013041156366017902
2003-09,-0.03888800824768813,-0.006617832754202989,-0.007488045546343712
2003-10,-0.006224902513380325,-0.05167291638180958,0.07971229041416748
2003-11,0.03279393760348773,-0.01141380087147591,0.011323434341463979
2003-12,0.0775269464328028,-0.09971626909817316,0.04315629046422702
2004-01,0.06922179003089363,0.02145998840456416,-0.016327177463378806
2004-02,0.06715453550092329,0.013421569391288773,-0.05712526866307084
2004-03,0.04160260975144377,0.006070179064493614,0.007362297465389564
2004-04,-0.08424031311122779,-0.017722451357505248,0.006848867160445082
2004-05,-0.021155859024503034,0.0017163370435107662,-0.013198880015519367
2004-06,-0.09436906415576254,-0.029272849202762477,0.03755035884591179
2004-07,0.0016346462818708927,-0.032641433761451906,0.006288190190888992
2004-08,-0.03095361558224701,-0.016376766847262192,0.032924311152088284
2004-09,0.05420447537104149,0.0019580755933873636,0.0042461045814417425
2004-10,-0.0443901943460972,-0.02772447130249181,0.0015586064554060294
2004-11,0.016352097287839748,0.021387752548312756,-0.040836517958428284
2004-12,-0.05525049479378688,-0.027617463156994683,0.020442943448489223
2005-01,-0.055043524456994064,-0.019931086542210673,0.011391710296140861
2005-02,0.09960956598729177,0.009236082528762221,0.00864895327275017
2005-03,-0.08766715041590047,-0.046987346540744504,0.027336901511367626
2005-04,-0.009318542095930795,-0.07831710529184498,0.0015615601194424733
2005-05,-0.0775541987653912,0.03849742521805342,-0.05114213168744529
2005-06,0.027513227497960563,-0.03609419167768828,0.011117457581267396
2005-07,0.011649859659403052,-0.08135016469386037,0.058709830403249494
2005-08,0.09040842004338283,0.06583830567259712,-0.051740229434626556
2005-09,0.0016923906019425134,0.010298523131330128,-0.017261258137369256
2005-10,-0.04807899182407921,-0.024992732683372328,-0.02335908264590767
2005-11,0.005571376421176874,0.015853716005577494,0.00277489170008699
2005-12,0.06502361715907778,-0.04013252045936466,0.03889739459633036
2006-01,0.10274241150394703,-0.0186688861659315,-0.01800339174788397
2006-02,0.04214560684856236,-0.03034800625924102,-0.02106663328543592
2006-03,0.02139449006281896,-0.01798446882524639,-0.007815385742797947
2006-04,0.1582210015829202,-0.11557069573566515,-0.10472690851539951
