date,MKT,SMB,VMG,MKT_cum,SMB_cum,VMG_cum
2000-01,0.1799589053789794,-0.10057946696053002,-0.10643503715554581,1.1799589053789794,0.89942053303947,0.8935649628444542
2000-02,0.14441627849938019,-0.038445448684794895,-0.12740706092065796,1.3503641792760137,0.8648419070904502,0.7797184771867655
2000-03,0.08116232194243267,0.03631751636533438,-0.07303065274568608,1.4599628715339423,0.8962508172046346,0.7227751278399436
2000-04,0.02941190312209698,-0.03295377322302484,-0.013609207825360584,1.5029031580733572,0.8667159710235224,0.7129387309141683
2000-05,0.03911726959497142,0.0009350655576089162,0.013299365748968974,1.5616926260828468,0.867526407276256,0.7224203638532016
2000-06,0.03572785052007207,-0.011523066486947248,0.06009584989945528,1.6174885467858333,0.8575298428060292,0.7658348296036335
2000-07,0.0505253120118176,-0.0015885812263334992,0.024112502255073463,1.699212660287729,0.8561675869967268,0.7843010236594649
2000-08,-0.0033734839636936293,0.00196660238078641,-0.05079857673517295,1.6934803936273433,0.8578513282116668,0.7444596479256248
2000-09,-0.045272501091847404,0.0021126183870755627,-0.03996818334357187,1.6168123006578272,0.859663640701024,0.7147049482254425
2000-10,0.024932066500915027,0.01239766475855052,-0.02126153969024629,1.6571227724573254,0.8703214623235502,0.6995092206019319
2000-11,0.060481330719453684,0.0032592851165641826,0.009131505806487202,1.7573477629010548,0.8731580881123279,0.7058967931115497
2000-12,0.0014264241047247535,0.015849908148429237,0.002981825178389649,1.759854486110441,0.8869975636079662,0.7080016539425943
2001-01,-0.0028116070834135207,-0.005678056428756017,0.021351900215484786,1.7549064667715157,0.8819611413896311,0.7231188346099747
2001-02,-0.05306374354355743,-0.006603863768147943,0.023981040064569192,1.6617845600758214,0.8761367901630938,0.7404599763542011
2001-03,0.08381788204535463,0.05338545293684946,0.008931060678057184,1.801071822317048,0.9229097495405879,0.7470730693326934
2001-04,-0.004350949110571,-0.0014988805095002566,-0.03382564094597212,1.7932354504736632,0.9215264181049737,0.7218028439290404
2001-05,0.03491047266010355,0.022834718112356284,-0.04001088134699074,1.8558381476405523,0.9425692140954901,0.6929228759846751
2001-06,0.008887043353982564,-0.006918853571558284,0.0015379057617604525,1.8723310617166085,0.9360477157221047,0.6939885260681075
2001-07,-0.12796679214441337,-0.026062880353520945,-0.01262142563386165,1.6327348619163904,0.9116516161020528,0.6852294014955855
2001-08,-0.03515125352040885,-0.002363328194978455,-0.006523360446443471,1.5753421848535576,0.9094970841337212,0.6807594031211291
2001-09,-0.03839608921896922,-0.03246207163079713,-0.0014824952420353851,1.5148552057735145,0.8799729246405712,0.6797501805450312
2001-10,-0.0400273917262046,-0.0323307593857851,-0.018958067084018815,1.4542195030435376,0.8515227317480113,0.6668634310218846
2001-11,0.03622997469279461,0.016542782995519506,0.014630122866931647,1.5069058388365733,0.8656092875150707,0.6766197249531984
2001-12,-0.05376184261940195,-0.016573503325957535,0.026139556099326354,1.4258918042867834,0.85126310910946,0.6943062642115233
2002-01,-0.08753888357058305,-0.05437205503935734,0.027267586058554533,1.3010708276470742,0.804978184487986,0.7132383200219045
2002-02,0.024755729199863616,0.02155265379681768,-0.008263934419228812,1.3332797847261477,0.8223276006122463,0.7073441653199625
2002-03,0.06122889726352741,0.014164380637188709,-0.04480506421555809,1.4149150356886828,0.8339753617557842,0.6756515645703012
2002-04,0.04215187098549416,0.004047422276752775,-0.02249761353567989,1.474556351728468,0.8373508122132176,0.6604510167858211
2002-05,-0.08319182022191786,-0.017277697059880248,-0.03022902519819695,1.3518853248083864,0.822883318546953,0.6404862263572277
2002-06,0.15497854994589946,-0.055061580805387395,0.01213235625070716,1.5613985521403315,0.7775740622093746,0.6482568334290647
2002-07,-0.042193154341380476,0.008064557185355245,-0.008627001736013835,1.4955182220414664,0.7838448526999111,0.6426643206016893
2002-08,0.009061723257505183,-0.004105136439670236,0.014226752582251203,1.5090701942961624,0.7806270626320447,0.6518073468843302
2002-09,-0.05208390324512477,-0.011781194922599394,-0.004010799385687602,1.4304719283063394,0.7714303430453203,0.6491930783778599
2002-10,-0.048149616948514704,-0.013703311223815462,-0.00432479843129225,1.361595252902786,0.7608591929670756,0.6463854491708855
2002-11,-0.05008380310177345,-0.042412323047537906,0.009634987989312227,1.2934013843520935,0.728589387081267,0.6526133652101131
2002-12,-0.05007147079197886,-0.00934724490916522,0.007488898909740652,1.2286388747132027,0.7217790836419998,0.6575007207293173
2003-01,0.10248549154640575,0.003046609499059924,0.0010287330911123993,1.354556533721208,0.7239780626544464,0.6581771134781619
2003-02,0.008245699755904622,0.007728006889137249,-0.005206836663625855,1.365725800200672,0.7295729701102242,0.6547500927525444
2003-03,7.769233406265566e-05,-0.034591505887669724,0.025525975754268303,1.3658319066257791,0.7043359424191716,0.6714632277452507
2003-04,0.01755360616545899,-0.07598224341892562,0.02489073229880008,1.389807182002906,0.6508189173935797,0.6881764391955459
2003-05,0.046580307652358696,-0.017187510070478813,-0.018923886728098922,1.4545448281180593,0.6396329606968194,0.6751534662112629
2003-06,-0.05827166150775526,-0.01378752477775931,0.007863286794495244,1.3697860842461078,0.6308140054025404,0.6804623915463797
2003-07,-0.0027211408593608875,-0.036555728174004674,0.013750334645787864,1.3660587033636817,0.60775414009269,0.6898189771440155
2003-08,-0.03324725000933566,0.004146278460289341,-0.026645990040378948,1.3206410081255204,0.610274057992908,0.6714380675493717
2003-09,-0.03915038260858404,-0.0088545119183552,-0.013479142579980084,1.2689374073688202,0.6048703790729468,0.6623876581032475
2003-10,-0.006342069167651442,-0.058313675910604296,0.06496024228314212,1.2608897185618668,0.5695981638197626,0.7054165208589975
2003-11,0.03262938119443865,-0.014587146445819186,-0.0038710198944450075,1.3020317698329704,0.561289351988854,0.7026858394728821
2003-12,0.07720687976269683,-0.10159234123101932,0.04347534017539366,1.4025575801336758,0.5042666526122646,0.7332353453803977
2004-01,0.06921289944334308,0.02285741811690646,-0.015975481601399416,1.4996326568909666,0.515792886333436,0.7215215576107774
2004-02,0.06722059109298809,0.01562141119810026,-0.05378624012718751,1.6004388505095257,0.5238502991039057,0.6827136258561818
2004-03,0.041664355703005126,0.008424164433895667,0.012616484667122618,1.6671201040580634,0.5282633001623024,0.691327071848832
2004-04,-0.08391815728597234,-0.016215978524412034,0.007733131884106223,1.5272184569511125,0.5196969938316355,0.6966731952704921
2004-05,-0.020538330344916384,-0.0065750170763544495,-0.028069873395745026,1.4958519397733971,0.5162799772226624,0.6771176668810402
2004-06,-0.09309357677691175,-0.03435686461642613,0.023970216918524717,1.35659773237121,0.4985422159410518,0.6933483242355442
2004-07,0.0033166991536546526,-0.0383166486260658,-0.005041878097144032,1.3610971589220153,0.4794397490275783,0.6898525465058895
2004-08,-0.031712585285584426,-0.02323366658069811,0.008691577733390729,1.3179332491877342,0.4683006057531379,0.695848453538423
2004-09,0.05442407661345111,-0.0028015350520089327,-0.002317699226111941,1.3896605493129421,0.46698864519124345,0.6942356861161658
2004-10,-0.04489083051505841,-0.03200426171488159,-0.008386581614897443,1.327277533120272,0.4520430183726649,0.6884134218745782
2004-11,0.016287662854481473,0.023723784815099378,-0.04209340782015765,1.3488957820940628,0.46276718966770597,0.6594357549587413
2004-12,-0.05590996074473181,-0.02637605720683861,0.021051530120485114,1.2734790718684494,0.45056121579958264,0.6733178866167802
2005-01,-0.055592544835711036,-0.024468315548109174,0.0005547946941809184,1.202683129468263,0.4395367417976588,0.6736914398077722
2005-02,0.09941641454341434,0.010192492792759897,0.008722291025311121,1.3222495740318507,0.4440167168705846,0.6795675726070365
